Building_Name,Carpet_Area,BHK,Floor_Number,Location,Furnished,Type,Bathrooms,Parking,Lift,Railway_Station-KM,Price,Available_for_Rent,Rented_Price
Elite View 368,2869,1.0,2,Bandra East,Semi-Furnished,1BHK,2,No,No,4,4079898,No,0
Skyline Homes 270,3379,2.0,2,Kurla East,Semi-Furnished,2BHK,1,No,Yes,2,1846236,No,0
Oceanic Heights 257,2267,1.0,1,Ghatkopar East,Semi-Furnished,1BHK,2,No,Yes,2,4704012,No,0
Sai Chawl,3472,2.0,24,Bandra West,Unfurnished,2BHK,3,Yes,Yes,3,2799254,Yes,30950
Sai Chawl,781,4.0,4,Powai,Semi-Furnished,4BHK,2,Yes,No,3,3417471,No,0
Harmony Homes 314,2768,4.0,11,Mulund East,Semi-Furnished,4BHK,4,Yes,Yes,2,1371510,Yes,8649
Emerald Palace 415,1442,3.0,6,Seawoods,Semi-Furnished,3BHK,4,No,Yes,2,2489902,Yes,38148
Skyline Tower 203,2102,4.0,13,Panvel,Unfurnished,4BHK,1,No,No,2,1776438,No,0
Elite Tower 4,644,3.0,9,Dadar West,Semi-Furnished,3BHK,1,Yes,Yes,0,3500205,Yes,28704
Elite Arcade 77,1921,3.0,7,Andheri West,Semi-Furnished,3BHK,4,No,No,2,734050,No,0
Sai Chawl,697,1.0,14,Kharghar,Semi-Furnished,1BHK,2,No,No,3,1700405,No,0
Metro Grandeur 244,798,2.0,1,Mulund West,Unfurnished,2BHK,4,Yes,Yes,2,1470568,Yes,38387
Silver Arcade 178,3011,4.0,11,Bandra East,Unfurnished,4BHK,1,No,Yes,4,3873703,No,0
Sai Chawl,742,2.0,10,Vile Parle East,Semi-Furnished,2BHK,2,No,No,3,4352806,Yes,21533
Silver Villa 311,2689,1.0,1,Borivali West,Furnished,1BHK,3,No,No,2,1396464,Yes,37185
Royal Villa 451,969,3.0,6,Ghansoli,Unfurnished,3BHK,4,Yes,Yes,1,4045037,No,0
Green Enclave 407,2324,1.0,1,Vashi,Semi-Furnished,1BHK,3,No,No,3,3691726,No,0
Sai Chawl,2547,4.0,8,Kurla West,Furnished,4BHK,3,Yes,Yes,4,3929701,Yes,15042
Metro Grandeur 150,3336,4.0,9,Santacruz East,Unfurnished,4BHK,3,Yes,No,1,4016992,Yes,13802
Sai Chawl,3067,1.0,19,Powai,Semi-Furnished,1BHK,3,Yes,Yes,0,3606682,Yes,22979
Urban View 411,3325,3.0,8,Sion,Unfurnished,3BHK,4,Yes,Yes,2,4971519,No,0
Sai Chawl,2694,3.0,6,Ghatkopar East,Unfurnished,3BHK,3,No,Yes,2,722270,No,0
Harmony Homes 314,615,3.0,15,Airoli,Semi-Furnished,3BHK,2,No,No,2,2043191,Yes,32914
Sai Chawl,2226,4.0,10,Chembur,Furnished,4BHK,1,Yes,No,0,4086484,No,0
Oceanic Tower 468,2996,1.0,18,Mulund East,Semi-Furnished,1BHK,2,No,Yes,1,4496589,No,0
Harmony Heights 335,2364,4.0,18,Kurla West,Semi-Furnished,4BHK,1,Yes,Yes,3,1118833,No,0
Golden Arcade 17,1182,4.0,9,Seawoods,Semi-Furnished,4BHK,1,No,No,4,3160942,No,0
Sai Chawl,907,4.0,9,Worli,Semi-Furnished,4BHK,4,Yes,Yes,2,4812931,No,0
Sapphire Heights 45,2554,3.0,11,Kharghar,Semi-Furnished,3BHK,2,No,No,4,676748,Yes,10810
Orchid Residency 431,3358,1.0,22,Airoli,Semi-Furnished,1BHK,2,Yes,Yes,2,3794135,No,0
Palm Villa 456,1290,3.0,4,Mulund East,Unfurnished,3BHK,2,No,No,2,3567604,No,0
Sunrise Palace 347,3134,2.0,1,Ghatkopar East,Unfurnished,2BHK,2,No,No,3,1971500,Yes,16710
Galaxy Apartments 380,2376,3.0,6,Santacruz East,Semi-Furnished,3BHK,2,Yes,No,4,3711167,No,0
Royal Villa 55,3106,3.0,10,Chembur,Furnished,3BHK,3,No,No,1,4512646,No,0
Royal Villa 55,1778,3.0,18,Bandra West,Semi-Furnished,3BHK,2,Yes,No,4,3784961,No,0
Royal Plaza 404,3223,4.0,9,Andheri West,Semi-Furnished,4BHK,3,Yes,Yes,2,3750548,Yes,20581
Silver Estate 357,2915,3.0,3,Kandivali East,Unfurnished,3BHK,3,Yes,No,1,2720275,Yes,31763
Skyline Park 253,508,4.0,10,Powai,Furnished,4BHK,3,No,Yes,3,3350632,No,0
Sunrise View 138,3466,2.0,21,Kharghar,Unfurnished,2BHK,4,No,Yes,3,4473465,Yes,31817
Green Arcade 173,1507,1.0,14,Borivali West,Semi-Furnished,1BHK,3,Yes,No,0,3464446,Yes,33781
Crystal Plaza 107,1593,1.0,13,Andheri West,Semi-Furnished,1BHK,1,No,No,2,2035528,Yes,26648
Sunrise Palace 200,873,2.0,14,Borivali East,Semi-Furnished,2BHK,3,No,Yes,1,759730,No,0
Sai Chawl,2136,3.0,2,Kandivali East,Unfurnished,3BHK,1,No,No,3,3677977,Yes,30716
Lakeview Residency 383,2250,1.0,23,Worli,Semi-Furnished,1BHK,1,No,Yes,3,2145624,Yes,17563
Sai Chawl,2076,1.0,19,Goregaon East,Furnished,1BHK,1,No,Yes,4,2754099,Yes,25730
Crystal Apartments 189,1749,3.0,21,Ghansoli,Semi-Furnished,3BHK,3,No,No,2,3001107,Yes,15285
Elite Enclave 70,1731,3.0,21,Borivali West,Semi-Furnished,3BHK,1,No,No,4,4771750,Yes,34219
Metro Homes 379,2437,1.0,7,Malad West,Unfurnished,1BHK,3,No,No,0,623673,No,0
Elite Villa 221,562,3.0,24,Mulund East,Unfurnished,3BHK,3,No,Yes,1,3260022,Yes,25649
Emerald Residency 333,2490,1.0,17,Dadar West,Furnished,1BHK,2,Yes,No,4,3231794,No,0
Skyline Residency 94,2911,2.0,17,Andheri East,Furnished,2BHK,4,Yes,No,0,3638285,Yes,33089
Orchid View 364,3204,3.0,21,Kharghar,Semi-Furnished,3BHK,2,Yes,No,4,1184512,No,0
Sai Chawl,2384,1.0,4,Andheri East,Furnished,1BHK,4,No,Yes,1,3813219,No,0
Oceanic Homes 110,3392,3.0,1,Sion,Unfurnished,3BHK,2,No,No,4,1145497,Yes,20084
Sai Chawl,1576,4.0,17,Seawoods,Unfurnished,4BHK,2,Yes,No,0,1136144,No,0
Royal Heights 106,1732,1.0,1,Borivali West,Unfurnished,1BHK,1,Yes,No,1,4273604,No,0
Oceanic Homes 110,2203,3.0,9,Andheri East,Unfurnished,3BHK,4,Yes,Yes,1,3473922,Yes,32642
Palm Tower 233,3007,1.0,5,Andheri West,Semi-Furnished,1BHK,2,Yes,Yes,3,2286274,Yes,15708
Palm Plaza 352,1165,4.0,1,Nerul,Semi-Furnished,4BHK,1,Yes,No,1,2316842,Yes,13870
Sai Chawl,3452,2.0,12,Sion,Furnished,2BHK,1,No,No,3,3835332,No,0
Sai Chawl,2531,3.0,5,Lower Parel,Semi-Furnished,3BHK,1,Yes,No,3,3822557,Yes,16063
Sai Estate 430,2894,2.0,2,Kharghar,Semi-Furnished,2BHK,2,No,No,1,2633036,No,0
Golden Enclave 125,3449,2.0,5,Juhu,Unfurnished,2BHK,3,No,No,2,4444446,Yes,38159
Oceanic Homes 112,2588,2.0,12,Lower Parel,Semi-Furnished,2BHK,1,No,Yes,2,597498,Yes,28708
Shanti Park 149,1324,1.0,20,Andheri East,Furnished,1BHK,1,Yes,Yes,1,2905912,Yes,15491
Sai Chawl,2110,1.0,11,Nerul,Semi-Furnished,1BHK,3,Yes,Yes,0,2767592,No,0
Palm Tower 381,998,1.0,6,Dadar West,Unfurnished,1BHK,2,No,No,4,1857736,No,0
Emerald Heights 78,1431,4.0,1,Vile Parle East,Unfurnished,4BHK,2,Yes,Yes,3,4190111,No,0
Palm Tower 381,2724,4.0,17,Vile Parle East,Semi-Furnished,4BHK,1,Yes,Yes,1,2393291,No,0
Sai Chawl,2785,4.0,10,Bandra East,Semi-Furnished,4BHK,3,Yes,Yes,1,2382252,No,0
Sai Chawl,1609,4.0,18,Airoli,Semi-Furnished,4BHK,2,Yes,No,3,3488084,No,0
Galaxy Homes 130,2260,2.0,19,Chembur,Furnished,2BHK,4,No,Yes,1,1576447,Yes,18273
Metro Enclave 470,994,1.0,15,Goregaon West,Furnished,1BHK,1,No,Yes,2,547704,No,0
Sai Chawl,2636,1.0,15,Bandra West,Semi-Furnished,1BHK,4,No,No,1,1088420,Yes,38456
Sai Chawl,2625,4.0,10,Malad West,Furnished,4BHK,4,No,No,2,896928,Yes,25664
Emerald View 51,1898,3.0,2,Kandivali West,Furnished,3BHK,4,Yes,No,3,2034723,No,0
Sai Chawl,1766,3.0,21,Sion,Unfurnished,3BHK,2,No,Yes,1,1392951,No,0
Sai Chawl,1487,3.0,18,Nerul,Unfurnished,3BHK,1,Yes,Yes,4,2909802,No,0
Sai Chawl,2434,4.0,18,Belapur,Semi-Furnished,4BHK,4,Yes,No,1,4317569,No,0
Sai Chawl,2252,4.0,24,Seawoods,Semi-Furnished,4BHK,1,No,Yes,3,2363744,No,0
Sai Estate 430,1077,3.0,21,Kharghar,Furnished,3BHK,1,Yes,Yes,0,3910890,No,0
Sai Apartments 184,2059,1.0,15,Chembur,Semi-Furnished,1BHK,1,No,Yes,4,2500902,No,0
Royal Arcade 117,2401,3.0,11,Seawoods,Furnished,3BHK,4,Yes,Yes,3,4072999,Yes,33004
Royal Heights 106,2673,1.0,3,Borivali West,Furnished,1BHK,2,No,Yes,4,1296212,No,0
Lakeview View 84,2776,3.0,13,Kurla West,Semi-Furnished,3BHK,2,No,No,4,2776085,Yes,35372
Galaxy Heights 302,1022,3.0,11,Bandra East,Unfurnished,3BHK,1,Yes,Yes,1,4269969,Yes,9495
Sunrise Estate 222,2170,2.0,13,Mulund West,Unfurnished,2BHK,3,No,No,2,4932686,No,0
Sai Chawl,2460,4.0,13,Malad West,Furnished,4BHK,1,No,Yes,4,1036066,No,0
Lakeview Apartments 414,2136,3.0,9,Kharghar,Unfurnished,3BHK,2,Yes,Yes,1,1760024,No,0
Elite Residency 308,3412,4.0,20,Bandra East,Semi-Furnished,4BHK,4,No,Yes,3,1658329,Yes,38222
Sai Chawl,2329,3.0,18,Malad East,Unfurnished,3BHK,4,No,Yes,3,3731378,Yes,31289
Harmony Apartments 74,2938,4.0,1,Nerul,Furnished,4BHK,3,Yes,Yes,1,3834211,No,0
Sai Chawl,2630,3.0,15,Vile Parle West,Semi-Furnished,3BHK,3,No,No,2,890679,No,0
Elite Park 398,1596,4.0,9,Dadar West,Semi-Furnished,4BHK,1,No,No,4,853652,Yes,19560
Sapphire Residency 152,2795,1.0,22,Goregaon West,Unfurnished,1BHK,3,No,No,0,4495651,No,0
Metro Plaza 483,2747,2.0,22,Ghatkopar East,Semi-Furnished,2BHK,3,No,No,2,2258696,No,0
Sunrise Apartments 2,1187,3.0,7,Kharghar,Unfurnished,3BHK,4,Yes,No,3,3464227,Yes,29406
Sai Chawl,2213,3.0,2,Ghatkopar East,Furnished,3BHK,3,Yes,No,0,4357057,Yes,32306
Metro Apartments 337,3425,1.0,7,Santacruz West,Furnished,1BHK,4,No,Yes,4,3401704,No,0
Galaxy Arcade 79,2685,1.0,18,Malad West,Furnished,1BHK,3,Yes,No,3,1219948,No,0
Galaxy Residency 216,3492,2.0,9,Santacruz West,Unfurnished,2BHK,2,Yes,No,2,3054646,No,0
Elite Villa 221,2802,4.0,18,Sion,Semi-Furnished,4BHK,1,Yes,No,2,4661002,No,0
Green View 463,423,1.0,4,Worli,Furnished,1BHK,4,Yes,Yes,2,776989,No,0
Royal Plaza 155,3460,1.0,15,Goregaon West,Unfurnished,1BHK,2,Yes,Yes,4,3622970,Yes,38993
Palm Heights 275,2477,3.0,4,Lower Parel,Semi-Furnished,3BHK,4,No,No,4,2828721,No,0
Orchid Residency 492,1780,2.0,1,Chembur,Furnished,2BHK,2,Yes,No,3,1853504,Yes,37461
Sunrise Arcade 426,2973,3.0,3,Kandivali West,Furnished,3BHK,2,Yes,Yes,2,4672783,No,0
Lakeview Residency 486,1819,4.0,12,Kharghar,Unfurnished,4BHK,1,Yes,Yes,3,596107,No,0
Skyline Homes 489,3079,3.0,7,Santacruz West,Unfurnished,3BHK,2,No,No,1,4852021,No,0
Sai Chawl,2871,2.0,18,Ghansoli,Unfurnished,2BHK,2,Yes,No,4,2314648,Yes,19091
Sai Chawl,2948,2.0,18,Chembur,Unfurnished,2BHK,2,No,Yes,2,816672,Yes,16936
Sai Chawl,3352,1.0,15,Sion,Semi-Furnished,1BHK,1,No,Yes,4,3539040,Yes,8784
Silver Villa 311,1542,4.0,24,Goregaon East,Semi-Furnished,4BHK,1,No,No,3,2137240,Yes,37633
Elite Park 398,2912,4.0,2,Vile Parle West,Unfurnished,4BHK,1,Yes,No,0,3143690,No,0
Galaxy Heights 165,3081,3.0,9,Powai,Furnished,3BHK,4,No,No,1,2695427,Yes,11135
Sai Estate 86,923,3.0,6,Airoli,Unfurnished,3BHK,4,Yes,Yes,1,2562273,Yes,30135
Sai Chawl,700,2.0,17,Worli,Furnished,2BHK,2,No,Yes,1,1617324,Yes,21970
Metro Residency 334,1281,4.0,12,Vile Parle West,Unfurnished,4BHK,2,No,Yes,2,3483310,No,0
Sai Chawl,1847,1.0,10,Mulund West,Furnished,1BHK,1,No,No,4,3383798,Yes,15499
Galaxy Plaza 340,2671,2.0,10,Kurla East,Semi-Furnished,2BHK,1,Yes,Yes,3,3585862,Yes,18239
Skyline Tower 203,3406,2.0,11,Lower Parel,Unfurnished,2BHK,4,Yes,Yes,3,3741465,Yes,39376
Metro Residency 96,1314,2.0,13,Goregaon West,Semi-Furnished,2BHK,3,No,Yes,0,4096774,No,0
Silver Grandeur 433,2626,1.0,14,Mulund West,Semi-Furnished,1BHK,1,No,No,4,810026,No,0
Galaxy Residency 216,1331,2.0,1,Dadar East,Furnished,2BHK,4,Yes,Yes,2,2328816,Yes,12951
Urban View 411,2477,1.0,20,Dadar East,Furnished,1BHK,4,Yes,Yes,1,986493,Yes,29500
Oceanic Arcade 355,2421,3.0,13,Ghansoli,Furnished,3BHK,3,Yes,No,4,3013966,Yes,32844
Sai Chawl,2611,1.0,21,Malad West,Unfurnished,1BHK,3,Yes,No,1,2772627,No,0
Orchid Plaza 182,2553,4.0,10,Borivali West,Unfurnished,4BHK,3,No,Yes,1,2097247,No,0
Sai Chawl,989,2.0,10,Dadar West,Unfurnished,2BHK,3,No,Yes,0,3387876,No,0
Sunrise Tower 272,818,4.0,14,Ghatkopar West,Unfurnished,4BHK,2,Yes,No,0,2359131,No,0
Sai Chawl,836,1.0,8,Malad East,Semi-Furnished,1BHK,1,Yes,Yes,3,2252673,Yes,29972
Royal Residency 102,2364,4.0,21,Panvel,Furnished,4BHK,4,No,Yes,1,1208901,No,0
Galaxy Enclave 15,706,3.0,4,Santacruz West,Furnished,3BHK,4,Yes,Yes,1,3255627,Yes,36187
Sai Chawl,3191,1.0,7,Worli,Semi-Furnished,1BHK,2,Yes,No,3,1223042,Yes,16880
Oceanic Homes 403,1019,1.0,21,Airoli,Unfurnished,1BHK,3,Yes,No,0,2033724,No,0
Sai Chawl,1395,3.0,22,Dadar West,Unfurnished,3BHK,2,Yes,Yes,3,1164232,Yes,12529
Sunrise Heights 454,751,3.0,2,Mulund West,Semi-Furnished,3BHK,4,Yes,Yes,0,3261020,Yes,17653
Sai Chawl,2419,4.0,7,Vashi,Furnished,4BHK,4,Yes,No,3,3779435,Yes,15812
Silver Park 179,1191,3.0,14,Malad East,Furnished,3BHK,1,No,Yes,4,4520859,No,0
Sunrise Palace 347,3318,4.0,9,Dadar East,Unfurnished,4BHK,1,Yes,No,3,4903809,No,0
Emerald Plaza 246,1970,2.0,19,Malad West,Furnished,2BHK,1,Yes,Yes,3,4835639,Yes,8991
Royal Tower 479,2066,3.0,17,Dadar East,Furnished,3BHK,1,Yes,Yes,4,2269568,No,0
Royal Villa 55,1177,2.0,19,Juhu,Unfurnished,2BHK,3,No,Yes,0,4293363,Yes,23846
Orchid Tower 295,1470,3.0,9,Sion,Semi-Furnished,3BHK,4,Yes,No,1,3287784,No,0
Sapphire Enclave 14,861,1.0,21,Kandivali West,Furnished,1BHK,3,No,Yes,0,4080616,No,0
Oceanic Apartments 365,1437,1.0,22,Dadar West,Unfurnished,1BHK,1,Yes,No,3,2834163,No,0
Sai Chawl,2869,4.0,5,Goregaon West,Unfurnished,4BHK,4,Yes,Yes,2,2754595,Yes,23918
Sai Chawl,1865,1.0,3,Mulund West,Semi-Furnished,1BHK,2,No,Yes,2,4422839,Yes,37043
Skyline Residency 297,1671,3.0,1,Goregaon East,Furnished,3BHK,3,Yes,Yes,0,4471229,Yes,27660
Orchid Homes 319,758,1.0,7,Ghatkopar East,Semi-Furnished,1BHK,4,Yes,No,1,3160344,Yes,35638
Sai Estate 49,1962,4.0,1,Bandra West,Semi-Furnished,4BHK,3,No,Yes,1,3351874,Yes,31953
Sai Chawl,647,1.0,22,Goregaon East,Unfurnished,1BHK,3,Yes,Yes,1,4688553,Yes,10261
Oceanic Villa 372,2499,2.0,19,Belapur,Unfurnished,2BHK,4,No,Yes,3,528217,No,0
Royal Villa 55,914,2.0,5,Bandra East,Furnished,2BHK,4,Yes,Yes,4,3784363,Yes,39798
Harmony Palace 30,1209,4.0,12,Borivali East,Furnished,4BHK,2,Yes,Yes,4,3287207,Yes,36703
Emerald Estate 147,2574,1.0,21,Borivali West,Unfurnished,1BHK,4,No,No,4,2266751,No,0
Shanti Villa 331,2979,3.0,17,Goregaon West,Furnished,3BHK,3,Yes,No,3,4408729,No,0
Urban Residency 159,2887,2.0,3,Juhu,Furnished,2BHK,1,No,No,1,4734813,Yes,34000
Royal Heights 361,943,3.0,4,Bandra West,Semi-Furnished,3BHK,2,No,Yes,4,4709688,Yes,35799
Golden Apartments 131,612,1.0,5,Kurla East,Semi-Furnished,1BHK,2,Yes,Yes,4,4029390,No,0
Metro Apartments 337,588,1.0,21,Borivali East,Furnished,1BHK,2,No,No,4,3566429,No,0
Sai Chawl,1771,1.0,14,Dadar East,Furnished,1BHK,1,Yes,Yes,4,3047290,No,0
Orchid Plaza 494,2514,1.0,19,Bandra West,Semi-Furnished,1BHK,1,Yes,No,2,857771,No,0
Golden Park 186,1564,2.0,5,Kurla East,Furnished,2BHK,3,No,No,4,3367283,Yes,35816
Sai Chawl,2448,1.0,16,Kurla East,Furnished,1BHK,4,No,Yes,4,2807498,Yes,27778
Sai Chawl,1061,4.0,17,Worli,Semi-Furnished,4BHK,3,No,Yes,0,4746375,Yes,29092
Skyline Plaza 399,825,3.0,13,Borivali West,Furnished,3BHK,3,Yes,Yes,1,507038,No,0
Shanti Villa 19,2981,4.0,17,Ghansoli,Semi-Furnished,4BHK,2,No,No,3,1505298,No,0
Skyline Arcade 339,2446,3.0,11,Dadar West,Unfurnished,3BHK,2,Yes,Yes,2,513106,No,0
Elite Park 398,2347,4.0,24,Bandra East,Semi-Furnished,4BHK,4,Yes,Yes,0,528741,Yes,36489
Orchid Enclave 269,575,3.0,21,Chembur,Furnished,3BHK,1,No,Yes,4,1562390,No,0
Metro Grandeur 244,1188,2.0,18,Borivali East,Unfurnished,2BHK,4,No,No,1,1176701,Yes,11514
Crystal Grandeur 413,1792,3.0,23,Ghatkopar East,Furnished,3BHK,4,No,No,1,3039661,Yes,12538
Harmony Heights 335,792,3.0,10,Goregaon East,Furnished,3BHK,3,Yes,Yes,3,3105775,Yes,38853
Metro Palace 260,1339,4.0,2,Chembur,Furnished,4BHK,1,No,No,2,4826976,No,0
Sai Apartments 184,3246,2.0,12,Kurla West,Unfurnished,2BHK,1,Yes,Yes,3,1831167,Yes,12482
Sai Chawl,2807,1.0,16,Juhu,Furnished,1BHK,4,Yes,No,1,1046500,Yes,16805
Sai Chawl,1285,2.0,10,Nerul,Unfurnished,2BHK,1,Yes,No,4,4862358,No,0
Metro Park 240,3272,2.0,8,Santacruz East,Furnished,2BHK,2,No,No,1,4854183,Yes,38236
Sai Chawl,1940,1.0,8,Borivali East,Furnished,1BHK,2,No,No,3,3586979,Yes,22589
Sapphire View 193,1051,1.0,11,Bandra West,Semi-Furnished,1BHK,3,Yes,Yes,1,4208506,No,0
Metro Palace 21,685,2.0,23,Andheri East,Semi-Furnished,2BHK,4,No,No,1,3398541,No,0
Oceanic Plaza 455,3227,3.0,4,Kurla West,Furnished,3BHK,2,No,Yes,2,2689449,Yes,33149
Sapphire Grandeur 425,1168,4.0,7,Panvel,Semi-Furnished,4BHK,2,No,Yes,4,4599027,No,0
Sai Chawl,1447,1.0,13,Andheri East,Furnished,1BHK,1,Yes,No,3,4593074,No,0
Sai Arcade 129,3114,3.0,2,Mulund East,Unfurnished,3BHK,1,No,No,2,3821780,Yes,25431
Metro Residency 96,562,4.0,9,Andheri East,Furnished,4BHK,4,No,No,3,736549,Yes,27298
Sai Chawl,3494,3.0,2,Mulund West,Unfurnished,3BHK,4,Yes,Yes,1,887879,Yes,11261
Metro Homes 83,1263,1.0,8,Kharghar,Unfurnished,1BHK,1,Yes,No,0,1562147,Yes,35995
Sai Chawl,831,1.0,16,Malad West,Furnished,1BHK,2,No,Yes,4,1799448,No,0
Harmony Grandeur 238,1523,1.0,10,Santacruz West,Furnished,1BHK,3,Yes,Yes,2,4799884,Yes,35714
Sai Chawl,880,3.0,20,Bandra East,Unfurnished,3BHK,2,No,Yes,2,3338901,Yes,31799
Sai Chawl,1904,2.0,21,Andheri East,Unfurnished,2BHK,3,Yes,No,0,4148903,No,0
Sai Chawl,675,1.0,24,Malad West,Furnished,1BHK,4,Yes,Yes,4,1312371,No,0
Metro Homes 379,1192,3.0,16,Chembur,Semi-Furnished,3BHK,3,No,No,1,2312893,No,0
Emerald Apartments 23,935,4.0,8,Santacruz West,Unfurnished,4BHK,3,No,Yes,1,1767986,Yes,37361
Sai Chawl,1556,1.0,17,Santacruz West,Unfurnished,1BHK,2,No,No,4,1100264,Yes,31401
Sai Chawl,1010,4.0,1,Goregaon East,Unfurnished,4BHK,3,No,No,3,2592596,Yes,27019
Sai Chawl,2373,2.0,8,Malad East,Semi-Furnished,2BHK,3,Yes,Yes,2,2074741,No,0
Sai Chawl,1470,2.0,8,Belapur,Semi-Furnished,2BHK,2,No,Yes,2,1259490,No,0
Golden Arcade 162,3236,2.0,4,Dadar West,Semi-Furnished,2BHK,4,Yes,Yes,1,3525206,Yes,21434
Urban Residency 159,3157,4.0,21,Santacruz West,Semi-Furnished,4BHK,4,No,Yes,4,4957338,No,0
Sai Chawl,2157,1.0,2,Andheri East,Unfurnished,1BHK,1,Yes,No,3,4923501,No,0
Palm Heights 450,1114,4.0,8,Panvel,Furnished,4BHK,4,No,Yes,3,4663385,Yes,17066
Green Grandeur 249,1462,1.0,24,Mulund West,Unfurnished,1BHK,2,No,No,4,3021919,No,0
Lakeview Heights 124,929,1.0,3,Kandivali East,Unfurnished,1BHK,2,No,Yes,3,2702795,Yes,9008
Sai Chawl,626,4.0,10,Ghansoli,Semi-Furnished,4BHK,4,No,Yes,2,3020409,Yes,28363
Lakeview Grandeur 358,1142,1.0,13,Airoli,Furnished,1BHK,4,No,Yes,1,2124579,Yes,20919
Sai Chawl,1772,3.0,9,Santacruz West,Furnished,3BHK,4,No,Yes,2,3615162,Yes,24733
Sai Chawl,563,2.0,7,Malad East,Unfurnished,2BHK,3,No,No,4,3072930,Yes,15600
Palm Palace 412,2996,4.0,15,Dadar West,Semi-Furnished,4BHK,3,No,No,4,2796622,No,0
Royal Plaza 57,1979,3.0,8,Goregaon East,Semi-Furnished,3BHK,3,No,No,3,810466,Yes,24739
Urban Villa 11,493,3.0,16,Chembur,Unfurnished,3BHK,3,No,No,0,3545150,No,0
Orchid Tower 295,1585,2.0,17,Sion,Semi-Furnished,2BHK,3,Yes,Yes,2,2326106,No,0
Sai Chawl,2389,2.0,22,Malad East,Unfurnished,2BHK,1,No,Yes,2,2724922,No,0
Sai Chawl,3059,3.0,6,Panvel,Furnished,3BHK,4,Yes,Yes,3,4851376,No,0
Skyline Homes 489,1706,2.0,18,Kurla East,Unfurnished,2BHK,4,No,Yes,2,3082737,Yes,18998
Sai Chawl,2753,2.0,21,Worli,Unfurnished,2BHK,4,No,No,2,671365,No,0
Orchid Residency 220,891,1.0,10,Kurla West,Unfurnished,1BHK,1,Yes,No,0,4877674,Yes,26355
Emerald Residency 290,1019,2.0,3,Juhu,Semi-Furnished,2BHK,4,No,Yes,2,2977849,Yes,30280
Sai Chawl,741,4.0,8,Nerul,Semi-Furnished,4BHK,4,Yes,Yes,0,4085139,No,0
Sai Chawl,584,3.0,5,Kandivali East,Semi-Furnished,3BHK,1,Yes,Yes,0,1163103,Yes,8846
Galaxy Plaza 89,2333,1.0,22,Santacruz West,Furnished,1BHK,3,No,No,2,4178170,No,0
Oceanic Homes 110,872,3.0,12,Mulund East,Unfurnished,3BHK,4,Yes,Yes,1,4387811,Yes,35922
Sai Chawl,1645,1.0,9,Worli,Semi-Furnished,1BHK,2,No,No,0,4392338,No,0
Metro Homes 225,815,2.0,9,Goregaon West,Semi-Furnished,2BHK,2,Yes,Yes,4,2561034,Yes,26619
Crystal Residency 73,2200,3.0,21,Dadar East,Semi-Furnished,3BHK,3,No,No,0,529050,No,0
Sai Chawl,486,2.0,6,Andheri East,Unfurnished,2BHK,1,Yes,Yes,3,1621142,Yes,36222
Emerald Apartments 60,2568,2.0,21,Dadar East,Semi-Furnished,2BHK,1,No,No,0,2850350,No,0
Royal Palace 274,1544,4.0,15,Santacruz East,Furnished,4BHK,2,No,No,3,3409772,No,0
Royal View 242,2238,3.0,11,Sion,Furnished,3BHK,4,No,No,3,4024526,No,0
Green Villa 374,1612,2.0,22,Dadar West,Unfurnished,2BHK,4,No,Yes,1,4582976,Yes,24814
Golden Palace 163,2592,3.0,2,Kurla West,Furnished,3BHK,1,Yes,Yes,3,1858657,Yes,22999
Sai Chawl,1609,2.0,7,Vile Parle East,Unfurnished,2BHK,3,No,Yes,2,1775251,No,0
Lakeview Apartments 146,3318,1.0,20,Borivali East,Unfurnished,1BHK,1,No,Yes,2,1756891,No,0
Lakeview Park 81,2323,2.0,10,Goregaon East,Furnished,2BHK,4,Yes,Yes,2,2744596,No,0
Sai Chawl,3060,3.0,8,Dadar East,Unfurnished,3BHK,2,Yes,Yes,0,1802039,Yes,33369
Emerald Heights 78,3465,2.0,19,Ghatkopar West,Semi-Furnished,2BHK,4,Yes,No,2,1993535,No,0
Sapphire Tower 144,3245,3.0,22,Santacruz East,Semi-Furnished,3BHK,1,Yes,Yes,4,3073663,Yes,23585
Sai Chawl,1498,3.0,3,Vashi,Furnished,3BHK,1,No,Yes,2,4883634,Yes,8246
Emerald View 51,1718,2.0,10,Kurla West,Furnished,2BHK,4,No,Yes,0,3430812,Yes,15428
Urban View 411,1875,4.0,2,Kurla West,Unfurnished,4BHK,2,Yes,Yes,1,1793918,Yes,36828
Sai Chawl,3353,2.0,10,Kurla West,Unfurnished,2BHK,2,Yes,Yes,1,3485718,No,0
Urban Grandeur 209,2521,2.0,9,Borivali East,Furnished,2BHK,4,No,No,4,848148,No,0
Sai Chawl,1703,4.0,15,Ghatkopar East,Semi-Furnished,4BHK,1,Yes,No,1,2939778,No,0
Crystal Tower 80,858,2.0,13,Kharghar,Semi-Furnished,2BHK,1,No,No,1,1154792,Yes,34128
Sai Chawl,442,3.0,5,Kandivali East,Semi-Furnished,3BHK,2,No,No,1,1148431,No,0
Sai Chawl,784,2.0,15,Malad West,Unfurnished,2BHK,4,No,Yes,2,3644546,Yes,28555
Golden Palace 163,2343,4.0,8,Vile Parle West,Unfurnished,4BHK,4,No,No,2,590857,Yes,23338
